text,isAbuse
집에 롱 패딩만 세개다 10년 더 입어야지 ㅋㅋ,0
개소리야니가 빨갱이를 옹호하고 드루킹을 ㅇㅇ이라고 말 못해서 삐진 거야 빨갱아,1
세탁이라고 봐도 된다,0
애새끼가 초딩도 아니고 ㅋㅋ,1
731부대의 후예라 그런지가 학적인 아이디어는 세계 최고임 이래서 애교만 떨어도 돈벌리는 한국에 기를 써서 진출하려고 하지조 센 남자들은 또 이쁜 여자만 보면 사족을 못 쓰며 공주 대접해주는 놈들이니,1
재앙이 한 건 햇노,1
글쓴이와 꾸승리에 비하면 방사능 피폭 원숭이 일 듯,1
마씨 발련아 몇 평이고 맷개 드갔노니 대하이 햄하고 해밨나,1
은행에 대출 상담 받으러 가보면 직업의 귀천 바로 알려줌,0
ㅋㅋ,0
ㄹㅇㅋㅋㅋ,0
우리 지역 군데 금태섭 뽑으면 안 되지 그래도 자한 당 뻡아야겠지,0
꽃다발사들고 알바하는 곳 찾아가서 무릎 꿇고 내 마음을 받아줄래지영아하면 바로 넘어온다 여자들이런 거 존 나 좋아함,1
박근혜 안 빠는데 보수 통합 3원칙인 정함,1
대가리에 필터 없는 연봉 30억 강사대가리가 없는 용접공,1
백정주제에라고 하는 걸 비하라고 느낀다면 본인조차 직업에 자부심이 없는 건데,0
이게 다 백인 탓이랑께,0
뭐 저런 골빈 ㄴ다 있냐 ㅋㅋㅋ 저런 게 학원 강사라고 애들이 불쌍,1
마감시간다 돼서 떨이하는 고기 사 먹으면 식중독 518퍼네아 오래된 것도 새 거처럼 둔갑해서 다음날 팔테니 떨이라는 개념이 아예 없을라나,0
열사 발들이켜도 아깝지 않음,0
정신병 자 천국이구나,1
으따옷이 딴건 필요 없당 깨현금으로 달랑 깨,0
난 사이트마다 아이디비 번다 다르고 난이도 높음 엑셀 파일에 모든 아이디비번 계좌 정보 등 등 다 들어 있고 이엑셀 파일에 비번만 기억함,0
깍 새들이 시 발존 나강요하더라,1
리뷰 쓴 새끼가 쓰레기 맞지 저건 ㅋㅋㅋ 존 나 악랄하게 사진 찍어 올리는 데,1
ㅋㅋㅇㅈ저런 거에 앉아 어감전사당할 수도,0
틀 딱씨 발 새끼들아 다 꺼져라 냄새나니까,1
근데 그것요즘 살짝 트렌드 지났더라,0
군대에서 여군이 필요한가,0
ㅋㅋ 수할 겨,0
내가 세금 안내면 너 같은 동사무소에서 프린트나 하는 새끼는 월급 못 받고 굶어 뒈 져야 돼 병신새끼야,1
면도 뭔스머프 모자 쓰고 왓네,0
사형예지,0
당연히 많이 볼 수밖에,0
흑종 원ㅋㅋ,0
난 그런 말한 적 없는데 ㅋㅋㅋㅎㅎㅋㅋㅋ거짓말 하노ㅋㅋ,0
원래 수준이 그래,1
호주에서는 남자들이 동물보다 못한 존재라던 ㅋㅋ,0
나베가나베했네요,0
전에 제주도 여행 갔는데 폭포 앞에 사진 잘 나오는 포토존에서 사진 찍는 거기다렸는데 앞의 6명의 짱게 이 때문에 짜증 남 먼저 6명 각자 한 장씩 찍음 다음번 갈아가면서 둘이나 셋이서 짝 지어서 찍음 정말 끝나서 싶어 찍을려고 하니 그 6명이 다 모여서 포즈 바꿔가면서 또 사진 찍음이 지랄하고 있음,1
행함이 없어도 불경건한 자를의롭다 하시는 그분을 믿는 사람에게는 그의 믿음이 의로 여겨지느니라,0
짱깨들 말하는 거 임짱깨국이 무상의료라고,1
빡대가리들에게 방법을 가르쳐 주시면 ㅠㅜ,1
누가 뭐래냐,0
시발정 작지네들 자식은 몸쓰는 일 안시킬 거면서 개지랄 떠네ㅋㅋㅋ,1
용접협회 무시하지 마라저기 현장 고수 및 용접에 관한 전문지식 가진 대학 교수학자들 모임이 다 파워력쎄다,0
너도 해,0
안 하는 애들도 결국 학업에 흥미를 못 느꼈다는 거니까,0
니들 틀 딱 들 닭 빨고진 빨고 중국 빨고 그때그때 빠는 새끼들 임닭이 친중하면 중국도 빨고 오성홍기절하고 아님 억울하면 논리적으로 반박을 해ㅋ,1
그냥 홀딩하세요,0
만나 이 공식화도,0
꼴리지는 않고 그냥 존 나 귀엽다,1
그냥 선거철에 지지지자 결집시키는 거임자 기 지지층엔 아시아인이 별로 없고 이민자들 싫어하는 사람들이 대부분이니까,0
오마쥬 가뭔진앎,0
4 카 성공,0
쓰레기들은 휴지통으로,0
크로캅이 본 야스키 개털던 거 생각 나네ㅋㅋ짜 개잡듯 잡아팼지 ㅋㅋ직은행원본 야스키ㅋ,1
용팔이,0
그러니깐 딜 도로쑤셔 박아야 한다는 거지,1
그래서 씨 발롬아가 나쁘다는 거야 좋다는 거야,1
미쳤나 진짜 시발,1
나키 183인데 사람들끼리 있을 때 누가 자기 키 177이라 하면 나는 어내키는 175인데 해주면 주변 사람들이 오오너희 둘이 키재봐라 하는데 키재면 내가 더 큼 ㅋㅋㅋ슬퍼하는 모습보는 거 개꿀잼,0
아이 분볼 때마다 심장이 뭉클해지네,0
ㄹㅇ 시위 진압ㅆㅅㅌㅊ 음,0
정재야니와 그라노,0
뭔가 잘못 이해한 거 같은데 문희상 천황 드립이란 소린 문희상이천황으로 말해서 잘못했다는 게 아니라 애초에 일왕이라고 함 지금천황이 전범 아들이니까 위안부에게 직접 사과시켜야 한다는 말이 불러올 파장을 생각도 못하고 경솔하게 대처해서 빌미를 줬다는 말이야,0
진짜 몇 시간씩 할 정도면 히로뽕 맞고 하는 거일 수도 있다경교대 있을 때 뽕쟁이 재소자의무실 간다고 계호할 때인데 내보고 히로뽕하는 게 단순하게 기분 좋은 것보다 목적이 ㅅㅅ던데비아그라보다 효과 좋단 다ㅋㅋㅋ,1
휴게소 마트 등의 여성 전용 주차장 보고 분노를 해야지,0
질렀으면 끝을 봐야지 ㅆㅂ 만나자 해서 이야기해 라 머리 채 잡고 내가 너 좋와하면 안 되냐 그 담허리띠를 풀고,1
앞머리 좀 자르던 가ㅅㅂ,1
아그런 거야 ㅋㅋㅋ,0
영혼까지 팔아도 된다는 놈일거야,0
그때 조언했으면 멱살부터 잡을 놈ㅋㅋ,1
남친이 노,0
진주네요 여기 동네에 잠시 살았는데 여기 주차장 난 아닙니다 그냥 욕만 나오죠,0
대구경북 당선 조건 매국노,1
개찐 따답 네ㅋㅋ,1
노가다 다니기 싫으면 노력해서 살지 그랬냐 틀딱들아 ㅋㅋ 들어릴 적 꿈 이 용접사였냐 상황이 ㅎㅌㅊ 되니까 그나마 할 만한 용접이나 한 거고 하다 보니 돈도 되고 존 나 힘든데 보람도 느끼니까 사람 된 것처럼 느끼나 본데노가다는 노가다 임 주제를 알고 살자,1
피파 회장도 보냈잖아,0
우리나라였으면 남성 1년 집해 유예 엄마 20년 때릴 것 같네요 아님 말구,0
와 석유나는 나라의 위엄이 바로 저런 거로구나 근데 저런 선진국이 될 수 있는 나라가 일부 새끼들이 그 부를 독점하려고 차도르씌우고 전쟁 광놀음하고 있는 거잖여,1
가봤는데 11만원 정도면 차라리 걍 호텔 뷔페 감호텔 뷔페에 랍스터가 없는 것도 아니고 그냥 그랫음,0
나안동 김씨,0
새로 오면 다 그렇게 함열심히 하는 티를 팍팍 내고 뭐 바꾸고 뭐하기로 하자 압박을 주잖냐 10년간 너무 타성에 젖어 살았던 거 아니냐 위기감 없이,0
ㅂㄷㅂㄷㅋㅋ중국 욕하니 ㅂㄷㅂㄷ 하죠 ㅋㅋ,1
정치인 위에 문재앙,1
오이오이아 부네,0
무게치는 거에 인생 버린 새끼들,1
빌런빌런,0
저거안 비싸,0
가세연에서 정규재 위장보수분탕이라고 좆나 깜ㅋㅋ,1
수술도 남자의사가 잘한다,0
이 봐요 미친 놈씨,1
그러나 그건 수치상일 뿐 현실은 굉장히 망할 가능성이 높은 나라지,0
여자들 물뽕처 먹여 강간하고 동영상 찍은 게 죄가 아니었구나 ㅋㅋ닝 썬이 중국 삼합회자금세탁소라면서,1
이게 여자다,0
키 17027살 따먹은 여자 23명 ㅁㅌㅊ,1
막상 마주치면 쫄보 새끼 마냥 쳐다도 못 볼 새끼가 조디만 살아가 ㅋㅋㅋ,1
저런 도로에서 정차하는 거 봤냐 당연히 저 상황이면 4가 아니라 브렘보조상님이 와도 못 세움 내 말은 최소 50키로 이상은 달릴 꺼라고 가정하고 같이 도로를 공유하는 건데 시 발럼 아그리고 저 사고는 차간 거리가 문제가 아니야 정차가 불가능한 도로에서 선건데 씨 발 참고로 블 박차도 무적권과 실은 잡힘내가 말하는 적당함이라는 건 사회적으로 용납이 가능한 암묵적인 룰 같은 거지,1
백종원 음식 너무 자극적임,0
거짓말 아니고 소방관들 저런 거 존 나흔하다 내가입털어도 몇 명 구속되겠네 개방관들 진짜 개새끼들임,1
우스갯소리로 많이 하던 거니까,0
박정희만세문재인 개새끼 김대중씨 발새끼 전라도 폭동,1
빠따로 전신마사지 해주는 데 모든 사람들이 너무 기분 좋았는지 엎드려서 잠만 자더라,1
1절만 해라 짤 게에 또 글 올리지 말고 ㅋㅋㅋ,1
이만희 총회장님께서 신천지구원으로 전 세계에서 몰려온다 하셨습니다,0
음유튜브 안하니,0
누가 따라다니면서 교통법규 위반 계속 신고할 듯,0
와근데 너가 만약 짤 같은 상황에서 성공하면 존 나꼴릴 것 같다,1
극 혐이 노ㅅㅂㅋㅋ,1
난 야동도 교복 입은 건 안본다에 라이,0
띤도 최서현 추천 개 띵곡,0
개 우끼 ㅋㅋ,0
공지 이잉ㅅㅂㅋㅋㅋ,1
내 말이 ㅋㅋ 아직 세상물정을 잘 모르는 것 같더라 사회생활이 적었나,0
다른 건 그런데 문씨거는 감동이다,0
ㅋㅋㄹㅇ,0
강력계 뽑을 때 유도국 대 출신들 특채 있다 무도특채 그리고 강력계 들어가면 스스로 권투도 장다님 아참레슬링 선수 출신 특채도 있었음,0
시스템은 다지좆 꼴리는 대로 무법천지지,1
적당히를 넘어 꽐라 될 때까지 마셔서 문제지,0
새벽 2시 반에 고소장 제출이 가능한 나라가 세상에 어디 있냐,0
창의력 인정,0
일베 새끼들은 그냥 무식한 거 맞네ㅋㅋ,1
내가 시키는 거 가능 닭병신종북짓한 병신ㅇㅇ해봐 ㅋㅋㅋ,1
꺼져라씨 발 검 머외 새끼들아,1
저 사건 판결문 찾아서 봐라 4000만원 정도 지급명령 받았음 법원이 그렇게 판결냈다는데 왜니가 아니라 함니가 노동부 장관이라도 됨,0
나도 존 나 맛없어서 다 버리고 햄버거시킨 거리 뷰올린 적 있는데 내꺼 찾아서 보내도 레전드겠ㅋㅋ 발맛없는 음식점은 다 장사 접고 나 가 죽어야 함,1
난프라이드 즐겨봤는 ㅋㅋ 사쿠라바고미 다카노리 반 달레이 실바노게이라 등 등 개 추억이 ㅋㅋㅋ 연말에 남제 이런 거 로빅매치 뜨고,0
눈 주변 시컴한 인간 들치고 정상인 없더라,1
대가들,0
대가리를 밟혀봐야 정신드는 유형,1
왜 연돈만 저지랄이냐 예전에 그 튀김 덮밥집도 존 나칭찬했는데 거기도 줄서냐,1
굳이 한자까지 섞어서 글 올리는 이유가 머ㅋㅋㅋ,0
그쪽도 매일 그러잖아 요 공적 마스크 시행한다니까 바로 사회주의 타령,0
심해공포증은 없는데 우주 공포증 있음,0
아ㅈㅎ고 싶다,0
서울은 조선족이 몰리는 곳,0
ㄹㅇㅇㅂ,0
화산지형이라 나쁘진 않을 껄강 수량 많아서 물 좋음,0
전라남도 안정권 홍어새끼좆이나빠는 새끼가 가세연을 까노ㅋㅋ,1
선동질당하는 니네가 불쌍타ㅠ,1
제발 못 배운 티 좀 내지 말아라,1
2016년 12월 기사를 가져와서 올려놨으면 그 이후 어떻게 되었는지 설명이라도 좀,0
아니시 발이 걸 정보라고,1
정신 못 차렸네,0
자원으로 연명하는 나라라서 교육수준이 ㄱㅆㅎㅌㅊ,1
굴다리 밑아들 국적이 ㅋㅋ,0
할마시들이 가져가겠지,0
ㄴㄴ 외모가 전부는 아니라고 생각함,0
필리핀은 아예 경찰이 돈을 갈취 함 ㅋㅋ,0
개븅신저능 아는 너고 이병신 새끼야ㅋㅋ,1
뭐 10조쯤은 껌으로 땅 사는 기업도 있는데,0
고참이 딸려들어간 스티로폼 씹을 때마다 희열을 느끼는 거야,0
딴따라들노가 다 딱 한번 뛰고 오면 자살 같은 건 배 부른 걸 느낄 건데,1
연초 밥,0
대하이햄만 찾으면 협상,0
어차피 여자는 성공한 남자의 전리품에 불과하다,1
누군들 중 동 여행 가보고 싶지 않겠냐,0
직모는 답 없다 그냥 무조건 스포츠 짧은 머리 모히칸 들어가야 된다,0
뚜렛 사슴 ㅁㅊㄴㅋㅋ 잘 봤다 나도 주위 눈치가 보여서 그렇지 일본 여행 가고 싶어 죽겠다 추운 날 온천담그고 싶노,1
번호판 세자리냐,0
나 거기에다 합성 아니라고 했어,0
개새끼가 처음에 잠복한 거 다 알아보고 할 수 없이 놀아주는 거네ㅋㅋ으로 하저병 신년 또 저지랄이 네 했을 듯,1
젖탱이는 인정 자연산에 크기도 존 나 크고 모양도 문제는 면상,1
버러지들,1
이게 말이 되냐,0
금발 거 유 무뇌라는 스트레오 타입,0
일단은 표현의 자유로 남겨놔야 하는 것 같음,0
그럼 20분짜리 영상 매일 올리면 한 달에 600임,0
그 예로 벌써 중국이 마스크를 보내주었구요,0
우주의 기운이나 받아라 멍충아,1
저건 용접 공비하라기보단 저성적자들을 비하한 거 아닌가,0
레알 200만원이 2000만원 가치임,0
한 번씩 바람쐬러 일본 가는데 일본 가 보니깐 동네마다 복싱체육관이 있더 라 오사카나니와 구가니깐 존 나후미진공단에도 복싱체육관 있음진짜 울나라 80년대 쓰던 파랑색 날개 처 돌아가는 선풍기 하나 달린 개거지 같은 체육관에서 복싱하고 있는 거 봤다 개 쪽 바리새끼들 보면 복싱 엄청 좋아하는 듯 복싱 만화도 많고 이렇게 복싱 씹덕들이 많으니 발달할 수밖에 없는 것 같은데 그래봤자 뭐하냐 핵폭탄처 맞고 살가죽 녹아내린 새끼들인데,1
ㅋㅋ,0
일베줬다티비 밑에 받침대 정보 좀 줘 어디 꺼임,0
곧 샤오미에서 85인치 나와서 삼성바를 듯,0
